Column1,Column2,Column3
name,address,비고
하선생짬뽕,대전 유성구 전민로14번길 12,
고고짬뽕,대전 유성구 전민로46번길 29,
성화짬뽕,대전 유성구 전민로38번길 33,
제주진고기국수,대전 유성구 전민로34번길 26,
노은댁갈비김치찌개,대전 유성구 전민로30번길 26,
국영수떡볶이,대전 유성구 전민로 62,
화목한우리집,대전 유성구 전민로 64,
히로시라멘,대전 유성구 전민로70번길 39,
한방삼계탕,대전 유성구 전민로14번길 43,
고바사이공,대전 유성구 전민로22번길 37,
북경,대전 유성구 전민로22번길 39,
좋은날(보리밥),대전 유성구 엑스포로539번길 202-8,
세모시,대전 유성구 유성대로1679번길 28,
수전복,대전 유성구 유성대로1689번길 8-14,
우리메밀촌,대전 유성구 유성대로 1661-1,
향미락,대전 유성구 유성대로1665번길 8-2,
복어찬가,대전 유성구 유성대로 1233,
만화쉔,대전 유성구 전민로22번길 14,
의령소바,대전 유성구 전민로14번길 29,
소바공방,대전 유성구 엑스포로446번길 36,
톤즈,대전 유성구 문지로 311-19,
오솥길,대전 유성구 문지로 291,
옛곰국시,대전 유성구 유성대로1707번길 61-3,
공주칼국수,대전 유성구 전민로6번길 67,
복성원,대전 유성구 문지로299번길 120,
엉클부대찌개,대전 유성구 문지로299번길 118,
한수식탁,대전 유성구 전민로22번길 26,
봉시보쌈,대전 유성구 전민로22번길 15,
다이닝유원,대전 유성구 문지로299번길 86-11,
반타이소이54,대전 유성구 문지로299번길 86-10,
